Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed,Subset_Inds,Subset_Classes,Max_KL,Min_KL,Avg_KL,Median_KL,Classes Repeated,Fine-Tuned Top1 Accuracy,Fine-Tuned Top5 Accuracy,Quant+FT Top1 Accuracy,Quant+FT Top5 Accuracy,Original Top1 Accuracy (Pick Sub),Original Top5 Accuracy (Pick Sub),Quantized Top1 Accuracy (Pick Sub),Quantized Top5 Accuracy (Pick Sub),Fine-Tuned Top1 Accuracy (Pick Sub),Fine-Tuned Top5 Accuracy (Pick Sub),Quant+FT Top1 Accuracy (Pick Sub),Quant+FT Top5 Accuracy (Pick Sub),Fine-Tuned Sparsity,Quant+FT Sparsity
resnet50,CIFAR100,64,0.767,0.743,0.961,0.972,8,1.16,1.16,1,1,False,,0.1,0.0,0.1247,0.25,False,0,"[96, 33, 68, 27, 72, 75, 47, 55, 56, 59]","['willow_tree', 'forest', 'road', 'crocodile', 'seal', 'skunk', 'maple_tree', 'otter', 'palm_tree', 'pine_tree']",7.107001226641158,0.0743972312083672,1.9507734809110828,1.6665523585980744,False,0.837,0.993,0.667,0.978,0.851,0.998,0.747,0.989,0.849,0.998,0.667,0.981,0.0,0.1216
resnet50,CIFAR100,64,0.878,0.956,0.989,0.995,8,1.16,1.16,1,1,False,,0.1,0.0,0.127,0.25,False,0,"[0, 39, 49, 52, 53, 23, 62, 58, 61, 94]","['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'cloud', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.7019652521171289,72.53466098732422,66.9804369236124,False,0.982,0.999,0.955,1.0,0.981,1.0,0.957,0.997,0.987,1.0,0.955,1.0,0.0,0.1208
resnet50,CIFAR100,64,0.866,0.915,0.979,0.988,8,1.16,1.16,1,1,False,,0.1,0.0,0.1259,0.25,False,0,"[24, 21, 95, 56, 12, 58, 73, 74, 71, 43]","['cockroach', 'chimpanzee', 'whale', 'palm_tree', 'bridge', 'pickup_truck', 'shark', 'shrew', 'sea', 'lion']",47.928266156435306,0.5579436567759732,15.796743425957702,11.335174109837542,False,0.951,0.995,0.892,0.993,0.965,0.997,0.916,0.996,0.958,0.999,0.892,0.993,0.0,0.1185
resnet50,CIFAR100,64,0.821,0.751,0.952,0.959,8,1.16,1.16,1,1,False,,0.1,0.0,0.1244,0.25,False,0,"[99, 7, 44, 45, 78, 79, 77, 26, 91, 29]","['worm', 'beetle', 'lizard', 'lobster', 'snake', 'spider', 'snail', 'crab', 'trout', 'dinosaur']",2.52451934960512,0.0692333107378202,0.5166580626320543,0.3519012029534839,False,0.888,0.984,0.77,0.973,0.894,0.994,0.752,0.976,0.894,0.994,0.77,0.974,0.0,0.1205
resnet50,CIFAR100,64,0.879,0.957,0.989,0.996,8,1.16,1.16,1,1,False,,0.1,0.0,0.13,0.25,False,0,"[0, 1, 39, 71, 49, 52, 53, 58, 61, 94]","['apple', 'aquarium_fish', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.5440176130360911,69.25226873583703,61.19456181566977,False,0.978,1.0,0.969,1.0,0.984,1.0,0.958,0.997,0.983,1.0,0.969,1.0,0.0,0.1199
resnet50,CIFAR100,64,0.796,0.88,0.962,0.978,8,1.16,1.16,1,1,False,,0.1,0.0,0.1245,0.25,False,0,"[24, 60, 90, 89, 57, 67, 33, 35, 92, 72]","['cockroach', 'plain', 'train', 'tractor', 'pear', 'ray', 'forest', 'girl', 'tulip', 'seal']",44.85273441778765,0.5278731054775405,10.912363944495524,8.530702553850608,False,0.962,0.996,0.872,0.991,0.97,0.998,0.88,0.993,0.975,0.997,0.872,0.992,0.0,0.1208
resnet50,CIFAR100,64,0.823,0.733,0.955,0.95,8,1.16,1.16,1,1,False,,0.1,0.0,0.128,0.25,False,0,"[64, 97, 34, 66, 38, 42, 43, 80, 88, 63]","['possum', 'wolf', 'fox', 'raccoon', 'kangaroo', 'leopard', 'lion', 'squirrel', 'tiger', 'porcupine']",2.2877043224290823,0.1115033507263587,0.7734368790561139,0.7937711868279003,False,0.891,0.99,0.794,0.971,0.888,0.991,0.735,0.964,0.898,0.992,0.794,0.971,0.0,0.1195
resnet50,CIFAR100,64,0.866,0.967,0.989,0.995,8,1.16,1.16,1,1,False,,0.1,0.0,0.1264,0.25,False,0,"[0, 39, 81, 49, 52, 53, 62, 58, 61, 94]","['apple', 'keyboard', 'streetcar', 'mountain', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,0.8441400222921807,71.16407210338333,66.87760926469888,False,0.979,0.999,0.965,0.999,0.984,1.0,0.972,0.997,0.982,1.0,0.965,1.0,0.0,0.1178
resnet50,CIFAR100,64,0.813,0.904,0.971,0.982,8,1.16,1.16,1,1,False,,0.1,0.0,0.1249,0.25,False,0,"[10, 29, 0, 78, 83, 37, 11, 90, 49, 39]","['bowl', 'dinosaur', 'apple', 'snake', 'sweet_pepper', 'house', 'boy', 'train', 'mountain', 'keyboard']",98.3965311689507,0.1518359509107778,20.753570393765266,13.120138257985897,False,0.953,0.998,0.883,0.992,0.963,0.999,0.905,0.993,0.963,0.998,0.883,0.992,0.0,0.1221
resnet50,CIFAR100,64,0.748,0.676,0.963,0.972,8,1.16,1.16,1,1,False,,0.1,0.0,0.1258,0.25,False,0,"[32, 2, 35, 98, 8, 11, 46, 48, 84, 25]","['flatfish', 'baby', 'girl', 'woman', 'bicycle', 'boy', 'man', 'motorcycle', 'table', 'couch']",3.37916282369197,0.0381532870564848,1.5017699498445691,1.522912015598558,False,0.806,0.981,0.713,0.968,0.803,0.989,0.676,0.979,0.81,0.987,0.713,0.968,0.0,0.1204
